project_id,record
22,33903
22,44778
22,44785
22,42857
22,42441
30,42398
22,45496
59,45624
59,45708
59,45652
59,45623
59,45729
68,45785
57,45819
30,2206
36,43726
36,46109
36,43711
36,44864
36,42204
30,45547
30,45256
68,43949
68,45562
59,45610
68,37114
68,45973
68,46078
68,46084
68,29999
68,44044
68,37851
68,20816
68,45333
68,45299
36,12366
36,46093
106,45785
106,43949
106,45562
106,37017
106,37122
106,41276
106,37114
106,42159
106,45973
106,46078
106,46084
106,29999
106,44044
106,44450
106,38251
106,37851
106,20816
106,43932
106,38056
106,41897
106,45333
106,43696
106,45299
106,34745
68,20816
68,29999
68,37114
68,37851
68,43949
68,44044
68,45299
68,45333
68,45562
68,45785
68,45973
68,46078
68,46084
68,41756
113,41441
113,41800
113,46097
113,45409
113,46007
113,42107
113,45931
80,99999
80,11111
170,99999
170,11111
